framenum,time,gaze_pos.ordinal,gaze_pos.onset,gaze_pos.offset,AOI,trials.ordinal,trials.onset,trials.offset,trials.number
613,120496,181,120496,120529,n,2,118456,122944,27
614,120529,181,120496,120529,n,2,118456,122944,27
615,120562,182,120530,120563,n,2,118456,122944,27
616,120595,183,120564,120597,n,2,118456,122944,27
617,120628,184,120598,120631,n,2,118456,122944,27
618,120661,185,120632,120665,n,2,118456,122944,27
619,120694,186,120666,120699,n,2,118456,122944,27
620,120727,187,120700,120733,r,2,118456,122944,27
621,120760,188,120734,120767,r,2,118456,122944,27
622,120793,189,120768,120801,r,2,118456,122944,27
623,120826,190,120802,120835,r,2,118456,122944,27
624,120859,191,120836,120869,i,2,118456,122944,27
625,120892,192,120870,120903,i,2,118456,122944,27
626,120925,193,120904,120937,r,2,118456,122944,27
627,120958,194,120938,120971,r,2,118456,122944,27
628,120991,195,120972,121005,l,2,118456,122944,27
629,121024,196,121006,121039,l,2,118456,122944,27
630,121057,197,121040,121073,l,2,118456,122944,27
631,121090,198,121074,121107,l,2,118456,122944,27
632,121123,199,121108,121141,l,2,118456,122944,27
633,121156,200,121142,121175,l,2,118456,122944,27
634,121189,201,121176,121209,l,2,118456,122944,27
635,121222,202,121210,121243,l,2,118456,122944,27
636,121255,203,121244,121277,l,2,118456,122944,27
637,121288,204,121278,121311,r,2,118456,122944,27
638,121321,205,121312,121345,n,2,118456,122944,27
639,121354,206,121346,121379,n,2,118456,122944,27
640,121387,207,121380,121413,n,2,118456,122944,27
641,121420,208,121414,121447,n,2,118456,122944,27
642,121453,209,121448,121481,n,2,118456,122944,27
643,121486,210,121482,121515,n,2,118456,122944,27
644,121519,211,121516,121549,n,2,118456,122944,27
645,121552,212,121550,121583,n,2,118456,122944,27
646,121585,213,121584,121617,n,2,118456,122944,27
647,121618,214,121618,121651,n,2,118456,122944,27
648,121651,214,121618,121651,n,2,118456,122944,27
649,121684,215,121652,121685,n,2,118456,122944,27
650,121717,216,121686,121719,n,2,118456,122944,27
651,121750,217,121720,121753,n,2,118456,122944,27
652,121783,218,121754,121787,r,2,118456,122944,27
653,121816,219,121788,121821,i,2,118456,122944,27
654,121849,220,121822,121855,i,2,118456,122944,27
655,121882,221,121856,121889,l,2,118456,122944,27
656,121915,222,121890,121923,i,2,118456,122944,27
657,121948,223,121924,121957,i,2,118456,122944,27
658,121981,224,121958,121991,i,2,118456,122944,27
659,122014,225,121992,122025,r,2,118456,122944,27
660,122047,226,122026,122059,n,2,118456,122944,27
661,122080,227,122060,122093,n,2,118456,122944,27
662,122113,228,122094,122127,n,2,118456,122944,27
663,122146,229,122128,122161,n,2,118456,122944,27
664,122179,230,122162,122195,n,2,118456,122944,27
665,122212,231,122196,122229,n,2,118456,122944,27
666,122245,232,122230,122263,n,2,118456,122944,27
667,122278,233,122264,122297,r,2,118456,122944,27
668,122311,234,122298,122331,r,2,118456,122944,27
669,122344,235,122332,122365,r,2,118456,122944,27
670,122377,236,122366,122399,r,2,118456,122944,27
671,122410,237,122400,122433,r,2,118456,122944,27
672,122443,238,122434,122467,r,2,118456,122944,27
673,122476,239,122468,122501,r,2,118456,122944,27
674,122509,240,122502,122535,r,2,118456,122944,27
675,122542,241,122536,122569,r,2,118456,122944,27
676,122575,242,122570,122603,r,2,118456,122944,27
677,122608,243,122604,122637,r,2,118456,122944,27
678,122641,244,122638,122671,r,2,118456,122944,27
679,122674,245,122672,122705,r,2,118456,122944,27
680,122707,246,122706,122739,n,2,118456,122944,27
681,122740,247,122740,122773,n,2,118456,122944,27
682,122773,247,122740,122773,n,2,118456,122944,27
683,122806,248,122774,122807,n,2,118456,122944,27
684,122839,249,122808,122841,n,2,118456,122944,27
685,122872,250,122842,122875,n,2,118456,122944,27
686,122905,251,122876,122909,n,2,118456,122944,27
687,122938,252,122910,122943,n,2,118456,122944,27
688,122971,,,,,,,,
689,123004,,,,,,,,
690,123037,,,,,,,,
691,123070,,,,,,,,
692,123103,,,,,,,,
693,123136,,,,,,,,
694,123169,,,,,,,,
695,123202,,,,,,,,
696,123235,,,,,,,,
697,123268,,,,,,,,
698,123301,,,,,,,,
699,123334,,,,,,,,
700,123367,,,,,,,,
701,123400,,,,,,,,
702,123433,,,,,,,,
703,123466,,,,,,,,
704,123499,,,,,,,,
705,123532,,,,,,,,
706,123565,,,,,,,,
707,123598,,,,,,,,
708,123631,,,,,,,,
709,123664,,,,,,,,
710,123697,,,,,,,,
711,123730,,,,,,,,
712,123763,,,,,,,,
713,123796,,,,,,,,
714,123829,,,,,,,,
715,123862,,,,,,,,
716,123895,,,,,,,,
717,123928,,,,,,,,
718,123961,,,,,,,,
719,123994,,,,,,,,
720,124027,,,,,,,,
721,124060,,,,,,,,
722,124093,,,,,,,,
723,124126,,,,,,,,
724,124159,,,,,,,,
725,124192,,,,,,,,
726,124225,,,,,,,,
727,124258,,,,,,,,
728,124291,,,,,,,,
729,124324,,,,,,,,
730,124357,,,,,,,,
731,124390,,,,,,,,
732,124423,,,,,,,,
733,124456,,,,,,,,
734,124489,,,,,,,,
735,124522,,,,,,,,
736,124555,,,,,,,,
737,124588,,,,,,,,
738,124621,,,,,,,,
739,124654,,,,,,,,
740,124687,,,,,,,,
741,124720,,,,,,,,
742,124753,,,,,,,,
743,124786,,,,,,,,
744,124819,,,,,,,,
745,124852,,,,,,,,
746,124885,,,,,,,,
747,124918,,,,,,,,
748,124951,,,,,,,,
749,124984,,,,,,,,
750,125017,,,,,,,,
751,125050,,,,,,,,
752,125083,,,,,,,,
753,125116,,,,,,,,
754,125149,,,,,,,,
755,125182,,,,,,,,
756,125215,,,,,,,,
757,125248,,,,,,,,
758,125281,,,,,,,,
759,125314,,,,,,,,
760,125347,,,,,,,,
761,125380,,,,,,,,
762,125413,,,,,,,,
763,125446,,,,,,,,
764,125479,,,,,,,,
765,125512,,,,,,,,
766,125545,,,,,,,,
767,125578,,,,,,,,
768,125611,,,,,,,,
769,125644,,,,,,,,
770,125677,,,,,,,,
771,125710,,,,,,,,
772,125743,,,,,,,,
773,125776,,,,,,,,
774,125809,,,,,,,,
775,125842,,,,,,,,
776,125875,,,,,,,,
777,125908,,,,,,,,
778,125941,,,,,,,,
779,125974,,,,,,,,
780,126007,,,,,,,,
781,126040,,,,,,,,
782,126073,,,,,,,,
783,126106,,,,,,,,
784,126139,,,,,,,,
785,126172,,,,,,,,
