Gaze_position_during_number_pres.ordinal,Gaze_position_during_number_pres.onset,Gaze_position_during_number_pres.offset,Gaze_position_during_number_pres.l/m/r/i/n,
418,142956,142988,"l",
419,142989,143021,"l",
420,143022,143054,"i",
421,143055,143087,"i",
422,143088,143120,"i",
423,143121,143153,"i",
424,143154,143186,"i",
425,143187,143219,"i",
426,143220,143252,"l",
427,143253,143285,"l",
428,143286,143318,"l",
429,143319,143351,"l",
430,143352,143384,"l",
431,143385,143417,"l",
432,143418,143450,"l",
433,143451,143483,"l",
434,143484,143516,"l",
435,143517,143549,"l",
436,143550,143582,"l",
437,143583,143615,"l",
438,143616,143648,"l",
439,143649,143681,"l",
440,143682,143714,"l",
441,143715,143747,"l",
442,143748,143780,"l",
443,143781,143813,"l",
444,143814,143846,"l",
445,143847,143879,"l",
446,143880,143912,"l",
447,143913,143945,"l",
448,143946,143978,"l",
449,143979,144011,"l",
450,144012,144044,"l",
451,144045,144077,"l",
452,144078,144110,"l",
453,144111,144143,"l",
454,144144,144176,"l",
455,144177,144209,"l",
456,144210,144242,"l",
457,144243,144275,"l",
458,144276,144308,"l",
459,144309,144341,"l",
460,144342,144374,"l",
461,144375,144407,"l",
462,144408,144440,"l",
463,144441,144473,"l",
464,144474,144506,"l",
465,144507,144539,"l",
466,144540,144572,"l",
467,144573,144605,"l",
468,144606,144638,"l",
469,144639,144671,"l",
470,144672,144704,"l",
471,144705,144737,"l",
472,144738,144770,"l",
473,144771,144803,"l",
474,144804,144836,"l",
475,144837,144869,"l",
476,144870,144902,"l",
477,144903,144935,"l",
478,144936,144968,"l",
479,144969,145001,"l",
480,145002,145034,"l",
481,145035,145067,"l",
482,145068,145100,"l",
483,145101,145133,"l",
484,145134,145166,"l",
485,145167,145199,"l",
486,145200,145232,"l",
487,145233,145265,"l",
488,145266,145298,"l",
489,145299,145331,"l",
490,145332,158300,"l",
491,158301,158333,"l",
492,158334,158366,"l",
493,158367,158399,"l",
494,158400,158432,"l",
495,158433,158465,"l",
496,158466,158498,"l",
497,158499,158531,"l",
498,158532,158564,"l",
499,158565,158597,"l",
500,158598,158630,"l",
501,158631,158663,"l",
502,158664,158696,"m",
503,158697,158729,"m",
504,158730,158762,"m",
505,158763,158795,"m",
506,158796,158828,"m",
507,158829,158861,"m",
508,158862,158894,"m",
509,158895,158894,"m",
510,158895,158927,"m",
511,158928,158960,"l",
512,158961,158993,"l",
513,158994,159026,"l",
514,159027,159059,"l",
515,159060,159092,"l",
516,159093,159125,"l",
517,159126,159158,"l",
518,159159,159191,"l",
519,159192,159224,"l",
520,159225,159257,"l",
521,159258,159290,"l",
522,159291,159323,"l",
523,159324,159356,"l",
524,159357,159389,"l",
525,159390,159422,"l",
526,159423,159455,"l",
527,159456,159488,"l",
528,159489,159521,"l",
529,159522,159554,"l",
530,159555,159587,"l",
531,159588,159620,"l",
532,159621,159653,"l",
533,159654,159686,"l",
534,159687,159719,"l",
535,159720,159752,"l",
536,159753,159785,"m",
537,159786,159851,"m",
538,159852,159884,"m",
539,159885,159917,"m",
540,159918,159950,"m",
541,159951,159983,"m",
542,159984,160016,"m",
543,160017,160049,"m",
544,160050,160082,"m",
545,160083,160115,"m",
546,160116,160148,"i",
547,160149,160181,"l",
548,160182,160214,"l",
549,160215,160247,"l",
550,160248,160280,"l",
551,160281,160313,"l",
552,160314,160346,"l",
553,160347,160379,"l",
554,160380,160412,"l",
555,160413,160445,"l",
556,160446,160478,"l",
557,160479,160511,"l",
558,160512,160544,"l",
559,160545,160577,"l",
560,160578,160610,"l",
561,160611,160643,"l",
562,160644,160676,"l",
563,160677,160709,"l",
564,160710,160742,"l",
565,160743,160775,"l",
566,160776,160808,"l",
567,160809,160841,"i",
568,160842,160874,"m",
569,160875,160907,"m",
570,160908,160940,"m",
571,160941,160973,"m",
572,160974,161006,"m",
573,161007,161039,"m",
574,161040,161072,"m",
575,161073,161105,"l",
576,161106,161138,"l",
577,161139,161171,"l",
578,161172,161204,"l",
579,161205,161237,"l",
580,161238,161270,"l",
581,161271,161303,"l",
582,161304,161336,"l",
583,161337,161369,"l",
584,161370,161402,"l",
585,161403,161435,"l",
586,161436,161468,"l",
587,161469,161501,"l",
588,161502,161534,"l",
589,161535,161567,"l",
590,161568,161600,"l",
591,161601,161633,"l",
592,161634,161666,"l",
593,161667,161699,"l",
594,161700,161732,"l",
595,161733,161765,"l",
596,161766,161798,"l",
597,161799,161831,"l",
598,161832,161864,"l",
599,161865,161897,"l",
600,161898,161930,"m",
601,161931,161963,"m",
602,161964,161996,"m",
603,161997,162029,"m",
604,162030,162062,"m",
605,162063,162095,"m",
606,162096,162128,"m",
607,162129,162161,"m",
608,162162,162194,"l",
609,162195,162227,"l",
610,162228,162260,"l",
611,162261,162293,"l",
612,162294,162326,"l",
613,162327,162359,"l",
614,162360,162392,"l",
615,162393,162425,"l",
